"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.27,9.1,"[327, 328, 916], [209, 497]"
2,4.01,7.2,"[327, 328, 916], [209, 497]"
3,3.78,0.9,"[327, 328, 916], [209, 497]"
4,4.65,6.5,"[327, 328, 916], [209, 497]"
5,2.11,6.2,"[327, 328, 916], [209, 497]"
6,5.43,7.3,"[327, 328, 916], [209, 497]"
7,6.12,7.1,"[327, 328, 916], [209, 497]"
8,3.78,9.3,"[327, 328, 916], [209, 497]"
9,8.94,5.6,"[327, 328, 916], [209, 497]"
10,4.72,6.7,"[327, 328, 916], [209, 497]"
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,5.35,3.4,"[209, 497]"
2,5.65,1.1,"[209, 497]"
3,5.61,5.6,None
4,7.65,7.2,None
5,10.98,9.1,None
6,8.78,8.9,"[209, 497]"
7,11.12,6.7,"[209, 497]"
8,10.98,5.6,"[209, 497]"
9,7.68,11.1,None
10,8.87,12.1,"[209, 497]"
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,10.01,3.8,None
2,9.88,1.3,None
3,11.11,1.5,None
4,9.65,1.4,None
5,6.78,7.4,None
6,12.34,9.1,None
7,9.33,5.9,None
8,9.12,6.1,None
9,9.88,6.7,None
10,10.52,9.2,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,,N/A,
2,,N/A,
3,,N/A,
4,,N/A,
5,,N/A,
6,,N/A,
7,,N/A,
8,,N/A,
9,,N/A,
10,,N/A,
