"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.31,7.1,None
2,1.51,5.2,None
3,1.65,6.5,None
4,2.01,7.2,None
5,2.39,7.6,None
6,2.39,6.7,None
7,2.15,7.1,None
8,1.92,7.2,None
9,1.29,6.6,None
10,2.83,6.4,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,3.65,8.1,None
2,2.31,6.7,None
3,2.56,7.9,None
4,3.11,6.5,None
5,2.44,7.9,None
6,3.16,6.1,None
7,1.98,5.9,None
8,3.35,4.3,None
9,2.23,7.2,None
10,3.55,6.3,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,6.78,11.3,None
2,7.16,12.3,None
3,7.23,9.5,None
4,7.98,10.1,None
5,5.67,7.1,None
6,5.78,3.4,None
7,6.79,6.5,None
8,7.55,3.9,None
9,7.14,3.2,None
10,7.01,8.7,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,9.3,N/A,None
2,3.69,N/A,None
3,0.94,N/A,None
4,8.6,N/A,None
5,7.1,N/A,None
6,4.56,N/A,None
7,6.72,N/A,None
8,3.98,N/A,None
9,0.97,N/A,None
10,1.31,N/A,None
