"	Copilot Raw	",,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,23.3,5.7,None
2,21.7,8.3,None
3,22.5,4.5,None
4,22.63,3.2,None
5,27.96,2.7,None
6,23.26,7.4,None
7,18.6,3.5,None
8,22.26,4.3,None
9,25.16,2.5,None
10,30.07,1.9,None
,,,
Idea 1,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,25.09,4.3,None
2,41.66,3.8,None
3,27.43,9.2,None
4,29.42,1.6,None
5,29.26,5.4,None
6,32.61,4.3,None
7,26.47,3.5,None
8,46.48,6.2,None
9,30.34,2.7,None
10,30.17,7.5,None
,,,
Idea 2,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,36.13,5.3,None
2,45.8,5.7,None
3,30.17,8.9,None
4,6.26,5.5,None
5,42.56,4.6,None
6,36.48,3.7,None
7,28.08,6.2,None
8,27.6,2.6,None
9,25.27,6.4,None
10,27.23,3.6,None
,,,
Idea 3,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,14.65,N/A,None
2,15.01,N/A,None
3,14.24,N/A,None
4,17.89,N/A,None
5,13.92,N/A,None
6,10.77,N/A,None
7,11.26,N/A,None
8,10.63,N/A,None
9,13.48,N/A,None
10,15.09,N/A,None
,,,
Idea 4,,,
,,,
Generation,Time taken (s),"	Memory Usage (kB)",CWEs Detected
1,33.61,5.9,None
2,6.32,8.4,None
3,44.12,3.2,None
4,46.39,2.2,None
5,43.86,4.6,None
6,6.43,1.5,None
7,29.75,6.3,None
8,45.66,4.6,None
9,35.67,7.4,None
10,41.34,4.3,None
